,frame,ridge_x,ridge_y,lin_x,lin_y,poly_x,poly_y
0,0,898,736,898,736,939,787
1,1,856,689,856,689,890,713
2,2,827,656,827,656,858,664
3,3,802,633,802,633,831,629
4,4,778,625,778,625,804,617
5,5,768,622,768,622,794,613
6,6,767,609,767,609,793,595
7,7,766,600,766,600,791,583
8,8,764,593,764,593,789,573
9,9,761,589,761,589,785,568
10,10,755,590,755,590,779,569
11,11,751,592,751,592,775,572
12,12,740,590,740,590,763,569
13,13,728,617,728,617,751,604
14,14,734,640,734,640,758,636
15,15,793,660,793,660,822,666
16,16,829,632,829,632,859,629
17,17,840,616,840,616,870,608
18,18,836,553,836,553,863,524
19,19,810,502,810,502,833,461
20,20,794,508,794,508,817,467
21,21,792,521,792,521,816,483
22,22,788,526,788,526,812,489
23,23,781,536,781,536,805,501
24,24,776,528,776,528,800,491
25,25,762,526,762,526,785,487
26,26,758,528,758,528,780,490
27,27,753,532,753,532,776,495
28,28,750,536,750,536,772,499
29,29,751,535,751,535,774,499
30,30,754,540,754,540,777,505
31,31,758,548,758,548,781,515
32,32,754,556,754,556,777,525
33,33,748,560,748,560,771,529
34,34,744,562,744,562,766,532
35,35,746,570,746,570,769,543
36,36,742,579,742,579,765,553
37,37,739,581,739,581,762,557
38,38,742,584,742,584,765,561
39,39,743,588,743,588,766,566
40,40,745,585,745,585,768,561
41,41,750,576,750,576,773,550
42,42,785,534,785,534,809,499
43,43,819,489,819,489,843,445
44,44,855,418,855,418,877,367
45,45,882,358,882,358,901,305
46,46,907,314,907,314,925,264
47,47,927,286,927,286,943,238
48,48,942,256,942,256,956,212
49,49,956,234,956,234,968,194
50,50,968,225,968,225,979,187
51,51,980,215,980,215,990,179
52,52,994,202,994,202,1002,169
53,53,1004,191,1004,191,1011,161
54,54,1015,180,1015,180,1021,152
55,55,1019,172,1019,172,1024,146
56,56,1025,156,1025,156,1028,135
57,57,1031,145,1031,145,1034,127
58,58,1034,134,1034,134,1036,120
59,59,1038,130,1038,130,1039,117
60,60,1045,131,1045,131,1046,118
61,61,1047,133,1047,133,1048,119
62,62,1054,125,1054,125,1054,114
63,63,1055,120,1055,120,1054,110
64,64,1064,108,1064,108,1062,102
65,65,1062,98,1062,98,1059,97
66,66,1058,98,1058,98,1056,96
67,67,1053,99,1053,99,1052,97
68,68,1053,103,1053,103,1052,100
69,69,1059,98,1059,98,1057,96
70,70,1059,105,1059,105,1057,101
71,71,1061,104,1061,104,1059,100
72,72,1064,112,1064,112,1062,105
73,73,1072,117,1072,117,1069,108
74,74,1080,117,1080,117,1076,108
75,75,1078,124,1078,124,1075,113
76,76,1043,177,1043,177,1046,151
77,77,984,269,984,269,996,224
78,78,933,346,933,346,951,295
79,79,892,410,892,410,913,359
80,80,855,464,855,464,878,418
81,81,828,502,828,502,852,461
82,82,810,531,810,531,835,495
83,83,796,551,796,551,821,520
84,84,782,567,782,567,807,540
85,85,772,580,772,580,797,556
86,86,762,589,762,589,786,568
87,87,749,598,749,598,773,580
88,88,742,603,742,603,765,586
89,89,737,607,737,607,760,590
